t215	235
t216	*
t217	*
t218	99
t219	262
t220	277
t221	*
t222	*
t223	164
t224	*
t225	*
t226	184
t227	244
t228	295
t229	*
t230	203
t231	147
t232	122
t233	199
t234	*
t235	*
t236	*
t237	*
t238	280
t239	199
t240	491
t241	*
t242	*
t243	204
t244	*
t245	*
t246	238
t247	*
t248	*
t249	*
t250	*
t251	*
t252	*
t253	*
t254	*
t255	221
t256	*
t257	*
t258	246
t259	225
t260	*
t261	284
t262	277
t263	*
t264	*
t265	*
t266	*
t267	*
t268	*
t269	270
t270	*
t271	1371
t272	*
t273	*
t274	*
t275	*
t276	*
t277	*
t278	*
t279	215
t280	242
t281	*
t282	*
t283	*
t284	*
t285	312
t286	*
t287	245
t288	*
t289	224
t290	*
t291	225
t292	*
t293	1134
t294	263
t295	*
t296	*
t297	255
t298	*
t299	298
t300	*
t301	*
t302	5
t303	*
t304	211
t305	*
t306	669
t307	*
t308	*
t309	*
t310	245
t311	*
t312	*
t313	*
t314	180
t315	*
t316	*
t317	*
t318	*
t319	*
t320	*
t321	257
t322	*
t323	*
t324	*
t325	233
t326	*
t327	*
t328	*
t329	*
t330	*
t331	*
t332	*
t333	*
t334	*
t335	*
t336	*
t337	250
t338	414
t339	*
t340	191
t341	*
t342	*
t343	*
t344	*
t345	*
t346	*
t347	*
t348	*
t349	327
t350	*
t351	*
t352	*
t353	*
t354	341
t355	*
t356	1354
t357	*
t358	*
t359	202
t360	*
t361	*
t362	*
t363	*
t364	*
t365	263
t366	*
t367	*
t368	156
t369	*
t370	*
t371	*
t372	1417
t373	*
t374	*
t375	250
t376	472
t377	*
t378	*
t379	*
t380	526
t381	*
t382	*
t383	*
t384	308
t385	*
t386	*
t387	380
t388	*
t389	*
t390	*
t391	255
t392	*
t393	*
t394	*
t395	*
t396	*
t397	143
t398	309
t399	*
t400	*
